date, T2_D_50, T5_D_50, T9_D_100, T14_D_100, T4_E_50, T7_E_100, T12_E_50, T15_E_100
31/08/2024,5.596333333,10.217,4.780166667,3.998333333,2.4835,3.237,5.011,4.174333333
01/09/2024,5.449166667,10.41,4.754333333,3.972833333,2.442166667,3.295166667,5.038,4.211833333
02/09/2024,5.7485,10.26616667,4.685166667,3.935,2.5135,3.2895,5.056333333,4.211166667
03/09/2024,5.728,10.26666667,4.711833333,3.976,2.550833333,3.3065,4.954333333,4.234833333
04/09/2024,5.697,10.266,4.681,3.965166667,2.668833333,3.322166667,4.961666667,4.309
05/09/2024,5.639666667,10.35566667,4.733833333,3.934166667,2.776333333,3.365,5.0145,4.345
06/09/2024,5.7305,10.38633333,4.642833333,3.966833333,2.886,3.354166667,4.698,4.171666667
07/09/2024,5.688833333,10.2925,4.665833333,3.910333333,2.966,3.339,4.795666667,4.247833333
08/09/2024,5.732666667,10.3725,4.6375,3.937833333,3.088166667,3.3725,4.918833333,4.3945
09/09/2024,5.745333333,10.39266667,4.593166667,3.970833333,3.161333333,3.338166667,4.964,4.291166667
10/09/2024,5.743833333,10.49283333,4.578,3.995333333,3.244166667,3.388166667,5.018,4.414833333
11/09/2024,5.735833333,10.51883333,4.540166667,3.993333333,3.273333333,3.411166667,5.132166667,4.437833333
12/09/2024,5.710833333,10.29183333,4.555666667,4.030666667,3.3915,3.465,5.141,4.4395
13/09/2024,5.7355,10.5245,4.4565,4.043333333,3.421833333,3.493833333,5.268166667,4.436
14/09/2024,5.795833333,10.67666667,4.5485,4.032333333,3.531333333,3.538166667,5.232666667,4.563333333
15/09/2024,5.88,10.5795,4.554,4.0735,3.679833333,3.546333333,5.247833333,4.4305
16/09/2024,5.900833333,10.49316667,4.5265,4.117,3.754333333,3.538,5.215833333,4.501333333
17/09/2024,5.946,10.62533333,4.478333333,4.093,3.9125,3.559333333,5.2245,4.477666667
18/09/2024,6.0185,10.58933333,4.389166667,4.082,4.040833333,3.567833333,5.2865,4.382166667
19/09/2024,6.161166667,10.429,4.385833333,4.0435,4.196333333,3.564,5.123666667,4.395666667
20/09/2024,6.207833333,10.4785,4.378,4.130666667,4.254166667,3.585666667,5.174666667,4.3805
21/09/2024,6.171833333,10.60033333,4.367833333,4.095,4.326666667,3.6255,5.148166667,4.4345
22/09/2024,6.290666667,10.64516667,4.322666667,4.054833333,4.5485,3.663333333,5.229166667,4.436333333
23/09/2024,6.300666667,10.63166667,4.279166667,4.063666667,4.613833333,3.643,5.112333333,4.373166667
24/09/2024,6.429833333,10.69066667,4.274666667,4.0585,4.760666667,3.664166667,5.075166667,4.392833333
25/09/2024,6.477666667,10.67133333,4.211166667,4.012666667,4.907,3.663,5.117166667,4.3325
26/09/2024,6.599166667,10.76966667,4.231333333,4.085333333,5.073833333,3.681333333,5.0925,4.343
27/09/2024,6.771833333,10.86266667,4.222,4.1145,5.257166667,3.667,5.0785,4.283666667
28/09/2024,6.8645,10.86883333,4.212666667,4.0445,5.525666667,3.7055,5.2005,4.303333333
29/09/2024,6.932833333,10.79466667,4.184166667,4.171166667,5.741166667,3.700833333,5.205,4.253666667
30/09/2024,7.638666667,10.90416667,4.17,4.124166667,5.9495,3.6795,5.1905,4.261833333
01/10/2024,8.311833333,11.071,4.134333333,4.191333333,6.150666667,3.664,5.072166667,4.322833333
02/10/2024,8.427,11.14516667,4.1125,4.211333333,6.292,3.646833333,5.124166667,4.274166667
03/10/2024,9.209166667,11.03416667,4.124666667,4.217166667,6.444833333,3.5975,5.000833333,4.168833333
04/10/2024,9.066666667,11.36516667,4.1685,4.225,6.5385,3.581166667,4.983166667,4.119
05/10/2024,9.009333333,11.6235,4.152333333,4.2795,6.826666667,3.5695,5.012666667,4.160833333
06/10/2024,8.957333333,11.71833333,4.167833333,4.291666667,7.111166667,3.538666667,4.988666667,4.227
07/10/2024,8.968,12.1395,4.17,4.307166667,7.196333333,3.511666667,5.033833333,4.307166667
08/10/2024,8.943,12.36766667,4.143,4.308666667,7.317,3.514666667,5.013,4.189166667
09/10/2024,9.54,12.28066667,4.172833333,4.3735,7.361333333,3.489166667,4.989833333,4.1325
10/10/2024,9.332833333,12.4125,4.115333333,4.278333333,7.408666667,3.469333333,4.890833333,4.081833333
11/10/2024,9.0315,12.50816667,4.0165,4.258333333,7.572,3.428833333,5.015666667,4.076333333
12/10/2024,8.912,12.492,3.814833333,4.185,7.478333333,3.378666667,5.656,3.980833333
13/10/2024,8.558,12.455,3.785833333,4.146333333,7.383666667,3.295833333,5.925166667,3.909
14/10/2024,8.4455,12.35133333,3.681,4.091,7.351833333,3.300833333,5.916833333,3.959666667
15/10/2024,8.511333333,12.415,3.651,4.079666667,7.234666667,3.270333333,5.983666667,3.900166667
16/10/2024,8.341166667,12.40666667,3.742666667,4.068166667,7.0945,3.266,6.099166667,3.899166667
17/10/2024,8.386833333,12.4455,3.826666667,4.020166667,7.000333333,3.260833333,6.203166667,3.998833333
18/10/2024,8.199,12.41433333,3.859333333,3.946666667,6.884,3.265,6.375833333,3.931
19/10/2024,8.158166667,12.4255,3.768,3.886333333,6.902,3.237333333,6.9755,3.879333333
20/10/2024,7.988333333,12.342,3.755333333,3.8355,6.831333333,3.206166667,7.9875,3.8465
21/10/2024,7.898,12.47866667,3.7285,3.7395,6.776666667,3.1615,9.291166667,3.799833333
22/10/2024,7.678166667,12.468,3.602,3.710666667,6.721833333,3.146666667,10.25566667,3.724166667
23/10/2024,7.634833333,12.619,3.5155,3.564,6.661,3.114333333,10.59316667,3.715333333
24/10/2024,7.4865,12.533,3.409166667,3.555166667,6.604,3.066833333,10.806,3.625166667
25/10/2024,7.467666667,12.53316667,3.350166667,3.541833333,6.601,3.038333333,11.2285,3.603333333
26/10/2024,7.438,12.7625,3.304166667,3.436,6.563333333,3.033833333,11.4125,3.656666667
27/10/2024,7.401166667,12.6275,3.3,3.338666667,6.600666667,2.997333333,11.71633333,3.7315
28/10/2024,7.389142857,12.56671429,3.333,3.318285714,7.308285714,2.924142857,8.517428571,3.396714286
29/10/2024,7.9775,12.66,3.372333333,3.3115,7.1265,2.994,4.693666667,3.91
30/10/2024,8.8105,12.969,3.272,3.4575,6.8675,2.944,4.6435,3.3625
